date,open,high,low,close,volume,average,barcount
2020-09-04 04:00:00,512.0,512.0,512.0,512.0,20,512.0,2
2020-09-04 04:00:15,512.0,512.0,512.0,512.0,0,512.0,0
2020-09-04 04:00:30,512.98,512.98,512.98,512.98,1,512.98,1
2020-09-04 04:00:45,512.98,512.98,512.98,512.98,0,512.98,0
2020-09-04 04:01:00,513.87,513.9,513.87,513.9,2,513.882,2
2020-09-04 04:01:15,514.0,514.0,512.98,512.98,5,513.522,4
2020-09-04 04:01:30,512.98,512.98,512.98,512.98,0,512.98,0
2020-09-04 04:01:45,512.98,512.98,512.98,512.98,2,512.98,1
2020-09-04 04:02:00,512.98,512.98,512.98,512.98,0,512.98,0
2020-09-04 04:02:15,512.98,512.98,512.98,512.98,0,512.98,0
2020-09-04 04:02:30,512.98,512.98,512.98,512.98,0,512.98,0
2020-09-04 04:02:45,512.98,512.98,512.98,512.98,0,512.98,0
2020-09-04 04:03:00,511.6,511.6,511.6,511.6,1,511.6,1
2020-09-04 04:03:15,511.6,511.6,511.6,511.6,0,511.6,0
2020-09-04 04:03:30,510.19,510.19,510.0,510.0,2,510.109,2
2020-09-04 04:03:45,510.0,510.0,510.0,510.0,0,510.0,0
2020-09-04 04:04:00,510.0,510.0,510.0,510.0,0,510.0,0
2020-09-04 04:04:15,510.0,510.0,510.0,510.0,0,510.0,0
2020-09-04 04:04:30,505.21,505.21,505.21,505.21,2,505.21,2
2020-09-04 04:04:45,505.21,505.22,505.2,505.22,10,505.205,5
2020-09-04 04:05:00,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:05:15,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:05:30,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:05:45,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:06:00,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:06:15,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:06:30,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:06:45,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:07:00,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:07:15,505.22,505.22,505.22,505.22,0,505.22,0
2020-09-04 04:07:30,503.99,503.99,503.99,503.99,1,503.99,1
2020-09-04 04:07:45,505.2,505.2,505.2,505.2,2,505.2,1
2020-09-04 04:08:00,505.2,505.2,505.2,505.2,0,505.2,0
2020-09-04 04:08:15,505.2,505.2,505.2,505.2,0,505.2,0
2020-09-04 04:08:30,505.2,505.2,505.2,505.2,0,505.2,0
2020-09-04 04:08:45,505.2,505.2,505.2,505.2,0,505.2,0
2020-09-04 04:09:00,505.2,505.2,505.2,505.2,0,505.2,0
2020-09-04 04:09:15,505.2,505.2,505.2,505.2,0,505.2,0
2020-09-04 04:09:30,505.2,505.2,505.2,505.2,0,505.2,0
2020-09-04 04:09:45,506.5,506.5,506.5,506.5,1,506.5,1
2020-09-04 04:10:00,507.45,507.45,507.45,507.45,1,507.45,1
2020-09-04 04:10:15,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:10:30,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:10:45,506.8,506.8,506.8,506.8,1,506.8,1
2020-09-04 04:11:00,506.8,506.8,506.8,506.8,0,506.8,0
2020-09-04 04:11:15,506.7,506.7,506.7,506.7,2,506.7,2
2020-09-04 04:11:30,506.7,506.7,506.7,506.7,0,506.7,0
2020-09-04 04:11:45,506.7,506.7,506.7,506.7,0,506.7,0
2020-09-04 04:12:00,506.7,506.7,506.7,506.7,0,506.7,0
2020-09-04 04:12:15,506.7,506.7,506.7,506.7,0,506.7,0
2020-09-04 04:12:30,506.7,506.7,506.7,506.7,2,506.7,1
2020-09-04 04:12:45,506.2,506.2,506.2,506.2,1,506.2,1
2020-09-04 04:13:00,506.2,506.2,506.2,506.2,1,506.2,1
2020-09-04 04:13:15,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:13:30,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:13:45,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:14:00,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:14:15,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:14:30,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:14:45,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:15:00,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:15:15,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:15:30,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:15:45,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:16:00,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:16:15,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:16:30,507.68,507.68,507.68,507.68,2,507.68,2
2020-09-04 04:16:45,507.68,507.68,507.68,507.68,0,507.68,0
2020-09-04 04:17:00,507.68,507.68,507.68,507.68,0,507.68,0
2020-09-04 04:17:15,507.68,507.68,507.68,507.68,0,507.68,0
2020-09-04 04:17:30,508.78,508.78,508.78,508.78,1,508.78,1
2020-09-04 04:17:45,508.78,508.78,508.78,508.78,0,508.78,0
2020-09-04 04:18:00,508.78,508.78,508.78,508.78,0,508.78,0
2020-09-04 04:18:15,508.78,508.78,508.78,508.78,0,508.78,0
2020-09-04 04:18:30,508.78,508.78,508.78,508.78,0,508.78,0
2020-09-04 04:18:45,508.78,508.78,508.78,508.78,0,508.78,0
2020-09-04 04:19:00,508.78,508.78,508.78,508.78,0,508.78,0
2020-09-04 04:19:15,508.78,508.78,508.78,508.78,0,508.78,0
2020-09-04 04:19:30,508.78,508.78,508.78,508.78,0,508.78,0
2020-09-04 04:19:45,507.46,507.46,507.46,507.46,9,507.46,2
2020-09-04 04:20:00,507.46,507.46,507.46,507.46,0,507.46,0
2020-09-04 04:20:15,507.46,507.46,507.46,507.46,0,507.46,0
2020-09-04 04:20:30,507.5,507.5,507.45,507.45,4,507.489,4
2020-09-04 04:20:45,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:21:00,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:21:15,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:21:30,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:21:45,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:22:00,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:22:15,507.34,507.45,507.34,507.45,11,507.35,2
2020-09-04 04:22:30,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:22:45,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:23:00,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:23:15,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:23:30,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:23:45,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:24:00,507.45,507.45,507.45,507.45,0,507.45,0
2020-09-04 04:24:15,506.41,506.65,506.14,506.2,8,506.322,8
2020-09-04 04:24:30,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:24:45,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:25:00,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:25:15,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:25:30,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:25:45,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:26:00,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:26:15,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:26:30,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:26:45,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:27:00,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:27:15,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:27:30,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:27:45,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:28:00,506.2,506.2,506.2,506.2,0,506.2,0
2020-09-04 04:28:15,506.57,507.0,506.27,507.0,3,506.669,3
2020-09-04 04:28:30,507.0,507.0,507.0,507.0,0,507.0,0
2020-09-04 04:28:45,507.0,507.0,507.0,507.0,0,507.0,0
2020-09-04 04:29:00,507.0,507.0,507.0,507.0,0,507.0,0
2020-09-04 04:29:15,507.0,507.0,507.0,507.0,0,507.0,0
2020-09-04 04:29:30,506.27,506.27,506.27,506.27,1,506.27,1
2020-09-04 04:29:45,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:30:00,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:30:15,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:30:30,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:30:45,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:31:00,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:31:15,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:31:30,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:31:45,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:32:00,506.27,506.27,506.27,506.27,0,506.27,0
2020-09-04 04:32:15,507.0,507.0,507.0,507.0,1,507.0,1
2020-09-04 04:32:30,506.97,506.97,506.97,506.97,1,506.97,1
2020-09-04 04:32:45,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:33:00,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:33:15,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:33:30,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:33:45,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:34:00,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:34:15,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:34:30,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:34:45,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:35:00,506.97,506.97,506.97,506.97,4,506.97,1
2020-09-04 04:35:15,506.97,506.97,506.97,506.97,0,506.97,0
2020-09-04 04:35:30,508.68,508.68,508.68,508.68,1,508.68,1
2020-09-04 04:35:45,508.68,508.68,508.68,508.68,0,508.68,0
2020-09-04 04:36:00,508.68,508.68,508.68,508.68,0,508.68,0
2020-09-04 04:36:15,508.68,508.68,508.68,508.68,0,508.68,0
2020-09-04 04:36:30,508.68,508.68,508.68,508.68,0,508.68,0
2020-09-04 04:36:45,508.68,508.68,508.68,508.68,0,508.68,0
2020-09-04 04:37:00,508.45,509.0,508.45,509.0,15,508.833,4
2020-09-04 04:37:15,509.0,509.0,509.0,509.0,0,509.0,0
2020-09-04 04:37:30,509.0,509.0,509.0,509.0,0,509.0,0
2020-09-04 04:37:45,509.0,509.0,509.0,509.0,0,509.0,0
2020-09-04 04:38:00,509.0,509.0,509.0,509.0,0,509.0,0
2020-09-04 04:38:15,508.8,508.8,508.8,508.8,1,508.8,1
2020-09-04 04:38:30,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:38:45,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:39:00,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:39:15,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:39:30,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:39:45,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:40:00,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:40:15,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:40:30,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:40:45,508.8,508.8,508.8,508.8,0,508.8,0
2020-09-04 04:41:00,508.65,509.24,508.65,509.24,12,508.957,9
2020-09-04 04:41:15,509.24,509.24,509.24,509.24,0,509.24,0
2020-09-04 04:41:30,509.24,509.24,509.24,509.24,0,509.24,0
2020-09-04 04:41:45,509.24,509.24,509.24,509.24,0,509.24,0
2020-09-04 04:42:00,509.24,509.24,509.24,509.24,0,509.24,0
2020-09-04 04:42:15,509.24,509.24,509.24,509.24,0,509.24,0
2020-09-04 04:42:30,509.24,509.24,509.24,509.24,0,509.24,0
2020-09-04 04:42:45,509.24,509.24,509.24,509.24,0,509.24,0
2020-09-04 04:43:00,509.24,509.24,509.24,509.24,0,509.24,0
2020-09-04 04:43:15,509.24,509.24,509.24,509.24,0,509.24,0
2020-09-04 04:43:30,509.79,509.79,509.79,509.79,1,509.79,1
2020-09-04 04:43:45,509.79,509.79,509.79,509.79,0,509.79,0
2020-09-04 04:44:00,509.79,509.79,509.79,509.79,0,509.79,0
2020-09-04 04:44:15,509.79,509.79,509.79,509.79,0,509.79,0
2020-09-04 04:44:30,509.79,509.79,509.79,509.79,0,509.79,0
2020-09-04 04:44:45,509.79,509.79,509.79,509.79,0,509.79,0
2020-09-04 04:45:00,509.79,509.79,509.79,509.79,0,509.79,0
2020-09-04 04:45:15,509.79,509.79,509.79,509.79,0,509.79,0
2020-09-04 04:45:30,509.79,509.79,509.79,509.79,0,509.79,0
2020-09-04 04:45:45,508.01,508.01,508.01,508.01,5,508.01,5
2020-09-04 04:46:00,508.01,508.01,508.01,508.01,0,508.01,0
2020-09-04 04:46:15,507.96,507.96,507.96,507.96,1,507.96,1
2020-09-04 04:46:30,507.54,507.54,507.54,507.54,1,507.54,1
2020-09-04 04:46:45,507.54,507.54,507.54,507.54,0,507.54,0
2020-09-04 04:47:00,507.54,507.54,507.54,507.54,0,507.54,0
2020-09-04 04:47:15,507.54,507.54,507.54,507.54,0,507.54,0
2020-09-04 04:47:30,508.0,508.0,508.0,508.0,2,508.0,1
2020-09-04 04:47:45,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:48:00,508.0,508.0,508.0,508.0,2,508.0,1
2020-09-04 04:48:15,508.0,508.0,508.0,508.0,1,508.0,1
2020-09-04 04:48:30,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:48:45,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:49:00,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:49:15,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:49:30,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:49:45,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:50:00,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:50:15,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:50:30,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:50:45,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:51:00,508.0,508.0,508.0,508.0,3,508.0,3
2020-09-04 04:51:15,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:51:30,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:51:45,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:52:00,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:52:15,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:52:30,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:52:45,508.0,508.0,508.0,508.0,0,508.0,0
2020-09-04 04:53:00,508.77,508.92,508.77,508.92,2,508.845,2
2020-09-04 04:53:15,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:53:30,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:53:45,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:54:00,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:54:15,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:54:30,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:54:45,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:55:00,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:55:15,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:55:30,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:55:45,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:56:00,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:56:15,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:56:30,508.92,508.92,508.92,508.92,0,508.92,0
2020-09-04 04:56:45,508.92,508.92,508.92,508.92,0,508.92,0
