time,tickAttribBidAsk,priceBid,priceAsk,sizeBid,sizeAsk
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,4900
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5200
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,5900
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,6000
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,6400
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,6500
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,6600
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,6700
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.11,349.12,100,6900
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,800,6900
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.12,700,6900
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,700,100
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,700,300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,600,300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1000,300
2020-08-28 11:41:37-04:00,"TickAttribBidAsk(bidPastLow=False, askPastHigh=False)",349.1,349.11,1100,300
